EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
0.901,7.713,-2.309,3.463,2.956,13.024,6.206,6.914,0.034,0.987,0.059,0.214,0.061,-0.549,100.000,148168.000,1.000
-1.512,5.132,-4.769,0.242,-0.778,9.368,1.059,1.943,0.035,0.990,0.059,0.336,0.000,-0.458,100.000,148169.000,1.000
-3.742,2.468,-6.909,-2.489,-4.201,5.647,-3.730,-3.162,0.036,0.988,0.060,0.366,-0.092,-0.275,100.000,148170.000,1.000
-5.336,0.190,-8.234,-4.193,-6.269,3.150,-6.252,-6.582,0.035,0.990,0.057,0.488,-0.092,-0.275,100.000,148171.000,1.000
-6.370,-1.493,-8.618,-4.959,-6.516,2.147,-6.021,-7.406,0.037,0.989,0.058,0.458,-0.031,-0.305,100.000,148172.000,1.000
-7.079,-2.495,-8.118,-5.195,-5.145,2.020,-4.046,-6.025,0.037,0.990,0.060,0.488,0.000,-0.305,100.000,148173.000,1.000
-7.667,-2.863,-7.168,-5.359,-3.261,2.015,-2.086,-3.931,0.038,0.993,0.058,0.549,0.031,-0.244,100.000,148174.000,1.000
-8.196,-2.690,-6.148,-5.787,-1.988,1.723,-1.497,-2.603,0.039,0.995,0.056,0.427,0.000,-0.183,100.000,148175.000,1.000
-8.840,-2.443,-5.496,-6.663,-2.217,1.033,-2.586,-2.642,0.039,0.997,0.056,0.519,-0.031,-0.244,100.000,148176.000,1.000
-9.505,-2.453,-5.116,-7.733,-3.713,0.338,-4.214,-3.313,0.039,0.998,0.059,0.397,0.031,-0.366,100.000,148177.000,1.000
-9.900,-2.718,-4.445,-8.442,-5.318,0.296,-4.579,-3.299,0.038,1.000,0.055,0.488,0.061,-0.397,100.000,148178.000,1.000
-10.009,-3.247,-3.368,-8.437,-6.361,1.132,-2.826,-2.010,0.041,0.997,0.056,0.458,0.092,-0.549,100.000,148179.000,1.000
-9.991,-3.959,-2.123,-7.796,-6.818,2.393,0.259,0.088,0.043,0.995,0.054,0.427,0.122,-0.732,100.000,148180.000,1.000
-10.052,-4.852,-1.354,-6.952,-7.378,3.361,2.923,1.956,0.043,0.994,0.054,0.519,0.122,-0.824,100.000,148181.000,1.000
-9.956,-5.549,-1.229,-6.115,-8.233,3.864,4.196,3.237,0.046,0.996,0.055,0.519,0.275,-0.854,100.000,148182.000,1.000
-9.294,-5.442,-1.212,-5.164,-8.747,4.197,4.380,4.465,0.047,0.995,0.054,0.610,0.488,-0.854,100.000,148183.000,1.000
-8.049,-4.404,-0.901,-3.992,-8.565,4.476,4.094,6.026,0.048,0.996,0.053,0.610,0.580,-1.099,100.000,148184.000,1.000
-6.390,-2.709,0.011,-2.569,-7.677,4.619,3.684,7.546,0.047,0.995,0.055,0.732,0.671,-1.251,100.000,148185.000,1.000
-4.683,-0.994,1.405,-0.921,-6.651,4.508,3.214,8.128,0.047,0.993,0.055,0.610,0.854,-1.343,100.000,148186.000,1.000
-3.180,0.316,3.111,1.063,-5.778,4.175,2.998,7.579,0.046,0.994,0.051,0.702,1.038,-1.404,100.000,148187.000,1.000
-1.952,1.195,5.091,3.505,-4.755,3.790,3.533,6.742,0.047,0.994,0.052,0.763,1.068,-1.556,100.000,148188.000,1.000
-1.082,1.779,7.106,6.183,-3.455,3.548,4.860,6.569,0.045,0.993,0.054,0.793,1.251,-1.709,100.000,148189.000,1.000
-0.598,2.398,9.044,8.440,-1.848,3.508,6.416,7.347,0.047,0.991,0.053,0.885,1.465,-1.648,100.000,148190.000,1.000
-0.659,3.073,10.509,9.434,-0.493,3.435,7.268,8.424,0.048,0.991,0.055,0.854,1.495,-1.770,100.000,148191.000,1.000
-1.187,3.741,11.253,8.929,0.078,3.318,7.031,9.008,0.046,0.995,0.055,0.824,1.526,-1.831,100.000,148192.000,1.000
-1.747,4.421,11.494,7.571,-0.159,3.542,6.206,8.882,0.042,0.995,0.051,0.793,1.465,-1.862,100.000,148193.000,1.000
-1.773,5.112,11.583,6.468,-0.895,4.426,5.673,8.518,0.038,0.995,0.053,0.763,1.648,-1.923,100.000,148194.000,1.000
-0.678,6.068,12.220,6.663,-1.078,5.998,6.222,8.867,0.038,0.994,0.054,0.732,1.495,-2.014,100.000,148195.000,1.000
1.450,7.282,13.635,8.477,-0.100,7.895,7.913,10.392,0.037,0.991,0.053,0.610,1.526,-2.136,100.000,148196.000,1.000
3.864,8.337,15.393,11.316,1.556,9.374,9.923,12.547,0.035,0.991,0.054,0.610,1.495,-2.258,100.000,148197.000,1.000
5.663,8.580,16.715,13.918,2.513,9.397,10.848,13.967,0.037,0.990,0.055,0.671,1.526,-2.350,100.000,148198.000,1.000
6.404,7.617,16.933,15.144,1.455,7.257,9.611,13.432,0.037,0.991,0.060,0.854,1.465,-2.472,100.000,148199.000,1.000
6.483,5.968,16.299,14.729,-1.232,3.362,6.437,10.994,0.036,0.989,0.056,0.732,1.343,-2.502,100.000,148200.000,1.000
6.433,4.420,15.207,13.101,-4.306,-0.960,2.457,7.597,0.037,0.989,0.055,0.641,1.343,-2.625,100.000,148201.000,1.000
6.682,3.665,13.986,11.092,-6.507,-4.037,-0.883,4.418,0.038,0.989,0.057,0.671,1.343,-2.594,100.000,148202.000,1.000
7.453,4.028,13.023,9.594,-7.023,-4.711,-2.411,2.397,0.036,0.989,0.056,0.824,1.312,-2.686,100.000,148203.000,1.000
8.542,5.104,12.389,9.046,-5.968,-3.182,-1.975,1.790,0.035,0.989,0.054,0.885,1.312,-2.960,100.000,148204.000,1.000
9.574,6.034,12.083,9.246,-3.889,-0.966,-0.618,2.059,0.035,0.991,0.054,0.916,1.190,-3.052,100.000,148205.000,1.000
10.123,5.699,11.663,9.580,-2.040,0.014,-0.009,2.073,0.035,0.994,0.053,0.916,1.160,-3.326,100.000,148206.000,1.000
10.113,3.563,10.709,9.686,-1.527,-1.161,-1.028,1.189,0.034,0.998,0.052,0.916,1.068,-3.387,100.000,148207.000,1.000
9.743,0.029,9.182,9.610,-2.504,-3.938,-3.253,-0.286,0.033,1.001,0.052,1.007,1.007,-3.540,100.000,148208.000,1.000
